fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0.2616037065620133,0.1997377951011598,0.4335339128824339,-2.201636029498764,-2.2630390585530367,-1.2507491313335144,-1.3240768674879655,0.5144824661730957,0.4355274505599583,0.2087448452124327,0.1730945650835902,4
0.064795630514347,0.367117698977086,0.0776583520672617,-3.3083391967680105,-2.9724505591023367,-1.8446256880993137,-1.5162277616254394,0.1348194470750604,0.5685433782930789,0.2387441399337263,0.6159819844092953,8
0.3513233887290373,0.1028866347592256,0.4506434602454083,-2.515289587116713,-2.1053321311460897,-1.8316857646036675,-2.5305026981265617,0.5774450324450745,0.3970799143519719,0.3019709528305416,0.1650708645587577,6
0.2012975531895645,0.1383478980287731,0.3464929897421664,-1.9956684777585607,-2.4463237503507447,-1.6989003267641292,-2.320636258243975,0.3747367873055353,0.4449943271755451,0.2518163340508079,0.5910617446622126,8
0.2848579923658527,0.2765202754331212,0.3322333516894949,-2.2510277317868126,-2.25496969606893,-2.210934646846022,-3.231911241852932,0.1715023794342859,0.3577253060941739,0.2289918627022447,0.6975240722613737,8
0.3053303998099317,0.2835808370837448,0.3565241301780636,-1.8993380161233744,-2.1949889611505085,-2.966250704304335,-3.3083926938884964,0.5792609381416096,0.4346750888632726,0.1515072602649681,0.3361765991753454,6
0.2064977684589333,0.4826673182485998,0.0466684956717189,-1.1813592900900158,-2.215720035355662,-3.580499118120591,-3.634959035252972,0.5489201913810077,0.4850583802099919,0.1061917865584023,0.258471668335674,3
0.3440857787188338,0.1774633687968929,0.446653405926398,-2.811919458410544,-2.3648117320365185,-2.665220907861573,-3.4398729654587297,0.3749258146545171,0.3809911810961794,0.3060553359925072,0.5028996574892174,8
0.2029705036520076,0.1658210317126561,0.1146783345633842,-3.1318472611626573,-2.163956103439596,-1.3233138416641288,-2.312082996173343,0.4228634950452802,0.6822508093009739,0.2823086080402674,0.3136501458143844,7
0.2968755629904477,0.2411116792635804,0.3166468278064654,-2.982461801171843,-2.452103078918736,-0.9180255842946796,-1.420471920816018,0.2441929916758266,0.3472884246326671,0.2095323350395428,0.5491107843275924,8
0.547771166846143,0.0666222661829506,0.5040277265222867,-2.909387125701456,-2.3911322943996964,-3.63455052016036,-5.07530479841263,0.5213363531408878,0.2785068249881401,0.1959137081765375,0.2040598083086181,6
0.3932980614173169,0.3331576903986027,0.350115091742105,-2.6584582614903938,-2.3397396497184046,-2.316934521625892,-2.4845580943824057,0.5772423259506982,0.4552488477015469,0.1441013203176775,0.1402088298855495,3
0.4603407751813493,0.1341524815912906,0.491601334240155,-2.207518592930541,-2.37599338725322,-2.837403327895748,-3.405181406011639,0.4610646492186717,0.2943782737597145,0.2195561694072511,0.3946026701463049,8
0.2212372046075057,0.3556347266899367,0.028845927831517,-2.3837778404511285,-2.244835404447074,-1.535870966646807,-1.3026488113274068,0.5195938052862604,0.5981176636981231,0.1381840854204411,0.1923061855434472,5
0.1835851526715228,0.17619144926256,0.3485180538316189,-1.3415299032429893,-2.504288832233477,-1.0954204314103846,-1.0279905309337287,0.44049114208842,0.4443049805127499,0.1888178791788069,0.2680908106397068,5
0.039755263100796,0.2622355111054572,0.0838181129095145,-2.780800284756349,-3.0695174142387542,-1.6700907655283372,-1.2777428631142074,0.1613294939457511,0.5434479665361323,0.3086647450954666,0.6220169626693776,7
0.2378305456109635,0.1861343736095274,0.3186612012613929,-2.6659452445070944,-2.211573773597569,-1.3251872561857885,-2.478640329658881,0.3022544037630031,0.4893467950883073,0.2459745819280786,0.5669532986279927,8
0.2644513484203001,0.1535085738261673,0.197441265668799,-0.6349347338324779,-1.7150557552589605,-0.8437704273714075,-1.7848723824558137,0.5336250423481056,0.18487796742769,0.1405958195408182,0.0492576962167481,6
0.324276957235654,0.1801918322257831,0.3758286786423477,-1.0569537246071163,-2.820006587852118,-3.573876588294075,-4.321483685986401,0.3856245069035828,0.3995029261158812,0.1294020899517066,0.5203781704278662,4
0.0948536939879685,0.4080530074516509,0.0741078020292838,-3.3482506819516846,-2.9740395343014603,-1.8895583963802691,-1.452563662047167,0.1715804980444319,0.5446989751532245,0.256892316209035,0.5877433929250929,8
0.2620992877189365,0.2023450708298821,0.3524951319675922,-2.4597107637127964,-2.47537163405809,-1.434293532563146,-2.384539041039096,0.3876884917960176,0.4390965024289412,0.2922645484053781,0.5078702085717978,8
0.447826955967682,0.2843626218382593,0.4339713106835108,-2.648506700281117,-1.3944990384268312,-2.848288563067656,-3.207920673731439,0.5940145726778283,0.2887698754377661,0.1498631752652976,0.0086777920613779,3
0.2400917957214971,0.34067819872354,0.1469561866311997,-2.915096430883529,-2.0982742864503185,-0.9040387472735266,-1.9393279174176337,0.5162473064758109,0.5340624589867944,0.1759954330912571,0.1391301175206624,5
0.4027938229781752,0.1549273632747251,0.4462060667053107,-2.414643636075388,-2.385900577263428,-3.0641481888121507,-3.471143105361879,0.4940746619286202,0.3618810012244184,0.3279140576367383,0.3353443736190105,8
0.2922136189275063,0.2186264906907393,0.3632215283268905,-2.1150976349307964,-2.1096865915512653,-2.4993344424191077,-2.716313289049263,0.4549764616385073,0.4853353754785457,0.1647711523892625,0.4741353283521181,5
0.5134230629640029,0.108028120092732,0.4481894688941322,-2.424695755620212,-2.359722261917669,-2.0870669942891213,-2.771140061689125,0.5317734882273287,0.2385832719701358,0.3196656588297367,0.214248357334098,7
0.2134423782985961,0.3303971061334432,0.0,-2.6985487698155946,-2.231432900005023,-2.7080921278624945,-2.9250709744926504,0.5397815777285936,0.6119428466181094,0.3369918587508772,0.2061452029721484,6
0.2024095222553339,0.6755306168530907,0.0066409807391267,-2.7484292470654084,-1.9160844806780084,-2.874930334490838,-4.369464499942748,0.3270655617581061,0.5289296257087642,0.0818640432998185,0.283017414437917,3
0.3038444915854513,0.2005355605607122,0.3655967948819345,-2.441147050021718,-2.351890042671078,-2.6002994174426863,-3.936628559073372,0.365362358229638,0.5351976343455142,0.1982018440953183,0.5020540260849677,7
0.4335413334343143,0.2845560931602436,0.4287480904908292,-2.6762088813424447,-2.439770432219914,-2.2985338729561167,-2.330511009791841,0.5884375625490513,0.3774169197754458,0.1260119304298757,0.1038661646804032,3
